Generación,Mejor Individuo,Valor de la Función Objetivo
254,[14.2365618  26.69723537],376.43058266244554
255,[14.2365618  26.69723537],376.43058266244554
256,[14.2365618  26.69723537],376.43058266244554
257,[14.2365618  26.69723537],376.43058266244554
258,[14.2365618  26.69723537],376.43058266244554
259,[14.2365618  26.69723537],376.43058266244554
260,[14.2365618  26.69723537],376.43058266244554
261,[14.2365618  26.69723537],376.43058266244554
262,[14.2365618  26.69723537],376.43058266244554
263,[14.2365618  26.69723537],376.43058266244554
264,[14.2365618  26.69723537],376.43058266244554
265,[14.2365618  26.69723537],376.43058266244554
266,[14.2365618  26.69723537],376.43058266244554
267,[14.2365618  26.69723537],376.43058266244554
268,[14.2365618  26.69723537],376.43058266244554
269,[14.2365618  26.69723537],376.43058266244554
270,[14.2365618  26.69723537],376.43058266244554
271,[14.2365618  26.69723537],376.43058266244554
272,[14.2365618  26.69723537],376.43058266244554
273,[14.2365618  26.69723537],376.43058266244554
274,[14.2365618  26.69723537],376.43058266244554
275,[14.2365618  26.69723537],376.43058266244554
276,[14.2365618  26.69723537],376.43058266244554
277,[14.2365618  26.69723537],376.43058266244554
278,[14.2365618  26.69723537],376.43058266244554
279,[14.2365618  26.69723537],376.43058266244554
280,[14.2365618  26.69723537],376.43058266244554
281,[14.2365618  26.69723537],376.43058266244554
282,[14.2365618  26.69723537],376.43058266244554
283,[14.2365618  26.69723537],376.43058266244554
284,[14.2365618  26.69723537],376.43058266244554
285,[14.2365618  26.69723537],376.43058266244554
286,[14.2365618  26.69723537],376.43058266244554
287,[14.2365618  26.69723537],376.43058266244554
288,[14.2365618  26.69723537],376.43058266244554
289,[14.2365618  26.69723537],376.43058266244554
290,[14.2365618  26.69723537],376.43058266244554
291,[14.2365618  26.69723537],376.43058266244554
292,[14.2365618  26.69723537],376.43058266244554
293,[14.2365618  26.69723537],376.43058266244554
294,[14.2365618  26.69723537],376.43058266244554
295,[14.2365618  26.69723537],376.43058266244554
296,[14.2365618  26.69723537],376.43058266244554
